Text	Valence
the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .	2
too bad .	0
a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .	2
gooding offers a desperately ingratiating performance .	0
you end up simply admiring this bit or that , this performance or that .	1
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .	0
analyze that regurgitates and waters down many of the previous film 's successes , with a few new swings thrown in .	1
there 's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .	1
a fun ride .	2
what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song .	1
an edgy thriller that delivers a surprising punch .	2
` what 's the russian word for wow !? '	2
you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible .	1
many shallower movies these days seem too long , but this one is egregiously short .	1
otto-sallies has a real filmmaker 's eye .	2
lurid and less than lucid work .	0
a portrait of an artist .	1
once again , the intelligence of gay audiences has been grossly underestimated , and a meaty plot and well-developed characters have been sacrificed for skin and flash that barely fizzle .	1
with a confrontational stance , todd solondz takes aim on political correctness and suburban families .	1
many of the effective horror elements are dampened through familiarity , -lrb- yet -rrb- are worthwhile .	1
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .	0
i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .	0
overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .	2
you live the mood rather than savour the story .	2
the movie is so thoughtlessly assembled .	2
here polanski looks back on those places he saw at childhood , and captures them by freeing them from artefact , and by showing them heartbreakingly drably .	1
some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	2
it 's a very sincere work , but it would be better as a diary or documentary .	2
while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .	0
unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .	2
and it 's a lousy one at that .	0
it 's not too fast and not too slow .	2
it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .	2
it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .	2
compellingly watchable .	2
despite some comic sparks , welcome to collinwood never catches fire .	0
he may have meant the internet short saving ryan 's privates .	1
though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .	2
not only does spider-man deliver , but i suspect it might deliver again and again .	2
it 's worth taking the kids to .	2
the movie plays up the cartoon 's more obvious strength of snazziness while neglecting its less conspicuous writing strength .	1
without shakespeare 's eloquent language , the update is dreary and sluggish .	0
dense , exhilarating documentary .	2
... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .	0
poignant if familiar story of a young person suspended between two cultures .	2
a perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .	1
methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .	2
this is amusing for about three minutes .	1
though a touch too arthouse 000 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .	2
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .	2
a metaphor for a modern-day urban china searching for its identity .	2
it 's a square , sentimental drama that satisfies , as comfort food often can .	2
the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .	2
admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .	2
not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '	0
an ugly-duckling tale so hideously and clumsily told it feels accidental .	0
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .	0
at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .	1
could i have been more geeked when i heard that apollo 02 was going to be released in imax format ?	2
this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	2
more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine	0
cho 's timing is priceless .	2
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .	2
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	2
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .	2
greengrass -lrb- working from don mullan 's script -rrb- forgoes the larger socio-political picture of the situation in northern ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .	1
nicholson 's understated performance is wonderful .	2
the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .	2
it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .	0
jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .	0
