id,text,aspect_term,aspect_term_polarity,aspect_term_from,aspect_term_to
2878,I would highly recommend this one to my friends,,,,
226,"I honestly love my mac, thats why I am a self proclaimed mac addict.",,,,
1652,And these are some reasons you should get a macbook pro.,,,,
1030,Also kinda loud when the fan was running.,fan,negative,25,28
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,neutral,31,54
,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,76,84
,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,137,160
2861,I purchased this laptop while on a business trip to keep up with my email.,,,,
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,43,52
,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,70,77
,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,neutral,122,129
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,positive,0,7
,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,negative,27,38
,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,negative,49,55
192,-they lost my laptop for a month,,,,
463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,28,48
2866,"This is my second laptop,and it is head and shoulders above my first.",,,,
935,at first!,,,,
1193,"Speaking of the browser, it too has problems.",browser,negative,16,23
2192,I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.,,,,
147,The keyboard is too slick.,keyboard,negative,4,12
1433,Nightly my computer defrags itself and runs a virus scan.,virus scan,neutral,46,56
1669,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,negative,10,17
2462,It's just as fast with one program open as it is with sixteen open.,program,neutral,27,34
2719,"Still under warrenty so called Toshiba, no help at all.",warrenty,negative,12,20
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,negative,120,136
588,I LOVE IT!,,,,
2492,Amazing Quality!,Quality,positive,8,15
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,neutral,48,54
,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,71,76
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,neutral,27,35
,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,neutral,41,64
915,"A month or so ago, the freaking motherboard just died.",motherboard,negative,32,43
2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,4,10
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,negative,30,37
,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,92,100
1954,I took it back to Best Buy where they were so helpful and immediately gave me a new one.,,,,
1728,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",,,,
620,"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".",,,,
2423,This machine delivers.,,,,
1781,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,,,,
645,I complain again...,,,,
2,This laptop is insane!!!,,,,
1524,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,62,72
2472,It does run a little warm but that is a negligible concern.,,,,
803,It rarely works and when it does it's incredibly slow.,works,negative,10,15
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,positive,66,75
,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,neutral,95,109
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,44,60
,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,84,88
,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,23,31
,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,65,75
1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,negative,64,72
1555,I always swore by PCs and would never consider a MAC.,,,,
2199,"what an elegant, wonderful machine.",,,,
72,This is now my 3rd MacBook Pro and I really honestly love it!,,,,
1151,for 2 months.,,,,
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,neutral,25,42
2113,Do you ever think HP would do that? NEVER!,,,,
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,neutral,16,22
,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,98,103
,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,75,85
1307,It's not like I have used for half a year and then complained about it.,,,,
2186,Still trying to learn how to use it.,,,,
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,negative,92,119
1875,I bought the netbook because it was smaller and lighter for me to carry around.,,,,
1359,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,,,,
2483,We'll save our money to replace it with a Mac again!,,,,
2945,Thank you for your great product!,,,,
197,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...",,,,
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,93,110
163,"Sorry Toshiba, but 1st impressions do count for something.",,,,
900,"Then, within 5 months, the charger crapped out on me.",charger,negative,27,34
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,88,93
2972,Overall this laptop is great.,,,,
446,I love the glass touchpad.,glass touchpad,positive,11,25
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,negative,66,76
,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,negative,81,93
2752,I am using the external speaker- sound is good.,external speaker,positive,15,31
,I am using the external speaker- sound is good.,sound,positive,33,38
270,The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.,,,,
2646,"Ok, this is probably the best laptop series ever devised by Apple.",,,,
886,"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.",,,,
2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,18,30
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,37,45
2772,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,,,,
407,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,negative,36,44
699,I would recommend anyone to buy from pcconnection express.,,,,
1034,Good luck.,,,,
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,positive,30,42
,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,negative,72,90
,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,positive,25,28
1863,"  My favorite by far, although the most expensive, was my Sony.",,,,
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,80,91
,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,32,39
1029,Also I typed faster then then letters would show and it got to be realy annoying.,,,,
1014,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,,,,
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,12,15
,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,28,35
,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,60,76
,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,99,109
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,17,29
,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,180,192
,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,neutral,142,148
,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,neutral,153,166
,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,neutral,48,60
,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,neutral,65,77
1073,"I shipped out on Saturday, July 17.",,,,
2788,I bought it for really cheap also and it's AMAZING.,,,,
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,positive,29,43
1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""",neutral,17,45
210,If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.,,,,
1718,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,neutral,39,55
,I eventually did the migration from my iMac backup disc which uses USB.,USB,neutral,67,70
2770,Those things are very important - vital even!,,,,
642,"-They say it will take ""up to two weeks"".",,,,
471,I didn't like one thing about it.,,,,
2923,"The battery life seems to be very good, and have had no issues with it.",battery life,positive,4,16
3027,Enabling the battery timer is useless.,battery timer,negative,13,26
654,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,neutral,0,12
,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,neutral,64,97
1340,"Yeah, to you.",,,,
2638,I got a mac as my HS graduation gift.,,,,
2099,I have now had it for 1.5 months and love it.,,,,
58,It turned out it's not really a problem to have a Mac.,,,,
2716,Page just disapeared after you got yahoo or downloaded something.,,,,
2317,Images can be multi-selected and viewed swiftly or in slideshow mode.,,,,
1110,Going to bring it to service today.,service,neutral,21,28
1488,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,positive,29,53
488,"But we had paid for bluetooth, and there was none.",bluetooth,negative,20,29
1289,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,neutral,22,48
,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,negative,93,98
2985,"My daughter uses it for games, email, facebook, pictures and music.",games,neutral,24,29
2145,Laptop is to be used like a Netbook.,,,,
1573,"It is always reliable, never bugged and responds well.",responds,positive,40,48
1928,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,63,74
,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,neutral,114,125
704,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",,,,
1099,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,37,45
1347,they had to replace the motherboard in April,motherboard,negative,24,35
1408,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,110,113
1374,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",representive at Microsoft,negative,31,56
,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",system,negative,170,176
,"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",XP,positive,217,219
34,There is a little indent to help open it - but good luck with that.,,,,
2864,I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,positive,7,16
,I love WIndows 7 which is a vast improvment over Vista.,Vista,negative,49,54
815,"  Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.",,,,
2801,It Was a great deal after all.,,,,
1568,This mac is great!,,,,
30,"Keyboard is great, very quiet for all the typing that I do.",Keyboard,positive,0,8
362,I grew up in a design family so it only made sense.,,,,
619,Gave phonenumber.,,,,
708,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,,,,
167,Oh my goodness-I am not a happy camper.,,,,
474,Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,Dell's customer disservice,negative,0,26
1563,I'd recommend this laptop to anyone!,,,,
172,"Yet, HP won't do anything about the problem.",,,,
1396,i'm returning mine,,,,
156,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,9,23
,"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",use,neutral,64,67
2095,"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",quad core I7,positive,97,109
46,It's a bummer and one out of five is being kind.,,,,
418,"This is what they told me: It heats up, and that is the reason we no longer call them laptops, and simply categorize them as portables.",,,,
1722,"After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.",sales associate,positive,50,65
2004,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",system,positive,29,35
,"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",Windows applications,neutral,58,78
2296,You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,58,71
1514,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,,,,
2699,One of them seems to have worked.,,,,
524,Which I still use and have hooked up to my TV.,,,,
155,The problem I had with this unit was unresolvable.,,,,
493,It weighed like seven pounds or something like that.,weighed,neutral,3,10
,It weighed like seven pounds or something like that.,seven pounds,neutral,16,28
902,"2 months later, the battery went.",battery,negative,20,27
2433,You may need to special order a bag.,bag,neutral,32,35
1675,It's color is even cool.,color,positive,5,10
3000,and it has blue screen crashed on me twice.,,,,
954,  Another two weeks later and it was back in my possession.,,,,
609,keys are all in weird places and is way too large for the way it is designed.,keys,negative,0,4
,keys are all in weird places and is way too large for the way it is designed.,designed,negative,68,76
50,"I've owned every ""Pro"" model Apple laptop for the last 8 years, this is BY FAR the WORST one I've ever had.",,,,
1265,We purchase the Dell XPS several years ago for my home business.,,,,
2150,"Have purchased many products over the years from MacConnection and this transaction, like all the others, we smoothly with no problems.",,,,
1777,I would recommend anyone to buy from pcconnection express.,,,,
296,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,95,100
,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,102,107
1585,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,,,,
2444,I'm pleased.,,,,
2335,The keyboard feels good and I type just fine on it.,keyboard,positive,4,12
1635,"With a healthy pessimism, I took the machine home and tried to find a flaw.",,,,
1661,Shiny  This Laptop is the Best of the best!,,,,
2416,I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,neutral,76,84
1471,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,62,69
1388,"Don't waste their money, save it and but a mac.",,,,
715,Money and time well spent!,,,,
1901,  Gradually the freezing screen evolved into a screen that froze in weird shapes.,,,,
1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,26,31
,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",service,positive,33,40
,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,positive,128,140
2389,Good laptop for the money.,,,,
2667,I like the laptop overall.,,,,
1618,I now travel with this laptop and my work PC.,,,,
1460,  I am however pleased that it is still hanging in there.,,,,
2964,Both my husband and I have this model Toshiba.,,,,
911,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",hard drive,neutral,133,143
,"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",motherboard,neutral,152,163
2001,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,58,63
,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,65,85
,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,91,100
,"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",cost,conflict,10,14
2465,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,71,79
,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,84,88
,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,118,146
2331,) I also tried the touch pad and compared it to other netbooks in the store.,touch pad,neutral,19,28
599,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,70,73
,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,75,83
,"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",pricetag,conflict,146,154
823,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,36,39
,"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,92,96
3006,lots of preloaded software.,preloaded software,positive,8,26
1861,"  Sony, Acer, Dell, Packard Bell and Toshiba.",,,,
1301,"and then, a guy came out to serve me instead.",,,,
788,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,,,,
2056,Have returned that laptop unused.,,,,
825,  Will probably never buy a HP again.,,,,
1823,I got tired of buying laptops and having them stop working after a year.,,,,
2439,I should have been more observant.,,,,
2941,"I wish it had a webcam though, then it would be perfect!",webcam,negative,16,22
2776,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,vga port,positive,51,59
,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,screen,neutral,92,98
1686,Another thing I might add is the battery life is excellent.,battery life,positive,33,45
2091,"One drawback, I wish the keys were backlit.",keys,negative,25,29
727,"When the buyer returned it Wal Mart just boxed it, taped it shut  resold it as new.",,,,
3001,What a great little laptop.,,,,
1259,"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,positive,200,208
2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,11,17
,I wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,42,47
2574,"I play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,45,53
2351,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",boots up,positive,100,108
526,It caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,47,57
2891,WOULD PAY MORE FOR IT IF I HAD TOO!,,,,
2717,Couldn't keep a page up you were working on!,,,,
3020,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,46,70
2541,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,61,67
,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,safari,negative,83,89
,the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.,Mozzilla firfox,positive,110,125
1069,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",Bluetooth,negative,4,13
,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,44,69
,"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,94,102
1553,"Great battery, speed, display.",battery,positive,6,13
,"Great battery, speed, display.",speed,positive,15,20
,"Great battery, speed, display.",display,positive,22,29
355,I would not recommend this product to anyone.,,,,
602,I like to use it at the race track to handiecap the horse races.,,,,
2502,I was given a Mac as a birthday present and couldn't be happier with it 3 years later.,,,,
